source	target	Weight_1>2	Weight_2>3
Sar1b	Sar1b	0.002001311948786521	0.022331734314666424
Tsc1	Tsc1	0.001997710024737472	0.0062610743460975084
Dgcr8	Dgcr8	0.018813443236396183	0.054738179674633236
Ifih1	Ifih1	0.12727536934794967	0.024076224999827398
Nek8	Nek8	0.0020066535392646648	0.003287514812607966
Cnn2	Cnn2	0.002008578783126392	0.00624993790535482
Plvap	Plvap	0.003111584010590199	0.0031625088791521353
Rhob	Rhob	0.010552108481650746	0.011515781567242207
Bicd2	Bicd2	0.0019979926753463605	0.009673875189169826
Hspb6	Hspb6	0.05649732286016721	0.06196033195449657
Myo16	Myo16	0.0020189817509260444	0.0035122132544376933
Evpl	Evpl	0.002017198749108116	0.0069821792616290065
Hecw1	Hecw1	0.0019966338485613196	0.002002426771115256
Srp68	Srp68	0.0019964678425624174	0.002071615638695927
Ltbp3	Ltbp3	0.0019976873329018486	0.022689306051966243
Taok2	Taok2	0.002850150554574411	0.0033905039479514907
Ube2h	Ube2h	0.002000039697962756	0.002010404493612101
Set	Set	0.001997069272793517	0.010662321647213266
Mpp4	Mpp4	0.0020038628716644415	0.006676411665211642
Maea	Maea	0.002001526952340993	0.004276338552640347
Sdhb	Sdhb	0.002002223495951093	0.003010544146986878
Dhx9	Dhx9	0.002104150669577999	0.010568042251514403
Stk26	Stk26	0.0020011338291790835	0.005120932467931031
Brsk2	Brsk2	0.001997845583320812	0.005756081221437792
U2af2	U2af2	0.003021265225367062	0.0031020789244066587
Sfxn5	Sfxn5	0.002002355565696998	0.0028349145843203603
Tdrd6	Tdrd6	0.0020181485446520097	0.005056291908301
Cdon	Cdon	0.0025771814421768433	0.0036542727551254024
Ttc8	Ttc8	0.002469458261424252	0.005726565120068914
C5ar2	C5ar2	0.0020261832520063624	0.005506196474787013
Gli3	Gli3	0.0020196068075403477	0.0026506100870869386
Yipf4	Yipf4	0.0019984621156775937	0.006052422086594221
Six1	Six1	0.0019976461963388164	0.0023365092228005424
Vegfc	Vegfc	0.002006290898587118	0.0020122448835188365
Rin1	Rin1	0.002040424750866212	0.0022690062304606584
Ascc3	Ascc3	0.0036028240953515146	0.005737768974957289
Hnf1a	Hnf1a	0.002071124870077922	0.0020826441329861024
Cstl1	Cstl1	0.010342672418650832	0.03358013870200495
Tesk1	Tesk1	0.0019978213091634547	0.007527766274678713
Oaz3	Oaz3	0.0020016507300143877	0.002004731193865912
Vti1b	Vti1b	0.003437028223427412	0.008237877601612657
Mlx	Mlx	0.0020047669919524063	0.002170619157472193
Tigd4	Tigd4	0.0035349362113747352	0.053312112699038586
Pax6	Pax6	0.0033890362487223056	0.04672848630774716
Gna11	Gna11	0.0020002050363129324	0.00686719185225765
Kcnq3	Kcnq3	0.0020040779919940736	0.005152618553387326
Agfg1	Agfg1	0.0019984845812742198	0.011217822593318872
Hnf1b	Hnf1b	0.0020117338227784503	0.007673172107784845
Tex14	Tex14	0.0020240688864362043	0.01741856057629474
Ube3a	Ube3a	0.002000709692038605	0.020330827710924922
Vapb	Vapb	0.0020847042225069622	0.004618436521101215
Ctbp2	Ctbp2	0.0019980107397943037	0.005532904538000468
Leng8	Leng8	0.0019975194269218816	0.05598476714148452
Kat2b	Kat2b	0.002001462106272113	0.004770722243117524
Cbwd1	Cbwd1	0.0019965108706928737	0.005406086210146057
Vps18	Vps18	0.0019981519509380697	0.0021215420286769654
Srsf2	Srsf2	0.018181486209678466	0.029162856814516865
Mob2	Mob2	0.0019968358076569866	0.0071585285493417136
Cdc73	Cdc73	0.0020089587367958773	0.011587106821608899
Mcm2	Mcm2	0.002011856579031416	0.0025867606035861247
Lrrk1	Lrrk1	0.003099221590460735	0.02100210693981458
Drd1	Drd1	0.002055610710709562	0.015935646526432454
Syt2	Syt2	0.0019967947808671987	0.0028567557504264236
Nrcam	Nrcam	0.0020623594338438213	0.0037323801937163893
Hfe	Hfe	0.005633714734235366	0.05810909685703138
Ppib	Ppib	0.00200135290975985	0.016102240083874196
Gsta3	Gsta3	0.002043886325697225	0.002311642678484453
Dse	Dse	0.0020041830904359505	0.011620100286140286
Suz12	Suz12	0.001998834948376146	0.0073568411896272655
Ift81	Ift81	0.0019978311702887985	0.002014990243620345
Il2rb	Il2rb	0.002024062019953029	0.004941049869853321
Tfb2m	Tfb2m	0.0020019984885463055	0.0020729353232819105
Stk24	Stk24	0.003452490726826344	0.003903914414011398
Tekt5	Tekt5	0.006725142039758719	0.11615289712978881
Efna5	Efna5	0.001997463150735486	0.005528813243267576
Gnal	Gnal	0.0020006429404704667	0.0020047326906131226
Wdr76	Wdr76	0.019019329002236168	0.05649197059303989
Clcn7	Clcn7	0.0020014728749522047	0.002750272239787739
Armc8	Armc8	0.0019976047695390337	0.00218556755162148
Cul4a	Cul4a	0.002002666177090383	0.0023009468532546513
Adrb3	Adrb3	0.0020353235651565525	0.03846066062986143
Hint2	Hint2	0.0020016527854499686	0.002001627790989493
Opa3	Opa3	0.002003858578917878	0.014410769237701352
Noc4l	Noc4l	0.0020013380083966506	0.00789209465759736
Tlr8	Tlr8	0.002018914022678565	0.006553727047651115
Ccng1	Ccng1	0.001996857764269023	0.026659187282011037
Stip1	Stip1	0.003129915764969682	0.02065245139034422
Rab14	Rab14	0.0019967973585028327	0.0026088183034074525
Wbp4	Wbp4	0.0020016080750688892	0.004316422517234115
Psme4	Psme4	0.014463268237497369	0.01447979121620479
Lmx1b	Lmx1b	0.002051490906546502	0.00934165418797422
Il23a	Il23a	0.03643483538389578	0.509035767129369
Bud31	Bud31	0.0019978124273062983	0.002313394335459754
Six5	Six5	0.002495040005760242	0.04485096686587473
Tmco1	Tmco1	0.0019966400619233597	0.0026277746498604543
Ift20	Ift20	0.0021881867002963005	0.016839138831022234
Kdm1b	Kdm1b	0.0019964627802169354	0.0020143793599998023
Hyou1	Hyou1	0.00199625364724267	0.0021937200752431617
Pigs	Pigs	0.001996072397254304	0.008896994959851598
Sympk	Sympk	0.001997174987018146	0.0026366233820412552
Ly9	Ly9	0.0020194426518085383	0.008663261341018469
Ttc3	Ttc3	0.003070779149645757	0.0038324046183222022
Otud4	Otud4	0.0021773169902961236	0.0024521707363462588
Wdr12	Wdr12	0.0020047890538369565	0.010454525129654356
Gvin1	Gvin1	0.0030551416882850916	0.031712827485742875
Eif3a	Eif3a	0.0020489909722295305	0.0020697076992140717
Cobl	Cobl	0.002000917425030356	0.006326368661217123
Whrn	Whrn	0.0034129243131949946	0.013169486988614946
Ibtk	Ibtk	0.03656619595254442	0.06462261333255782
Pde4d	Pde4d	0.002001387243314944	0.0021393064606207083
Ccng2	Ccng2	0.0020028794120337747	0.0034781771633262187
Pcbp1	Pcbp1	0.002000968079536574	0.016793409234074137
Fgf14	Fgf14	0.0020046960164777305	0.02262859853638946
H13	H13	0.001998130975128278	0.0026634489388081607
Grik4	Grik4	0.0020003123832649508	0.006893901024757075
Mkln1	Mkln1	0.0019987058680905707	0.0024347175608562008
Ptpra	Ptpra	0.001996488104787706	0.01311804257360386
Puf60	Puf60	0.0021608605560063314	0.01663254497419797
Myo1d	Myo1d	0.0034304541482075694	0.02742147843215473
Cgnl1	Cgnl1	0.004574320918700999	0.0077153806196557095
Frrs1	Frrs1	0.002019779791529754	0.024999876270316194
Vps16	Vps16	0.0019964486229609624	0.003977814653766556
Rrp1	Rrp1	0.0019961595132477637	0.00681423847382811
Myh8	Myh8	0.0020022681952760668	0.038001133821912114
Fahd1	Fahd1	0.0020055544658189885	0.004818225386548731
Nr0b2	Nr0b2	0.012592166341126478	0.03867156436904094
Syt10	Syt10	0.0020075412676502577	0.0023420395803916824
Vdac1	Vdac1	0.001998459702036828	0.003569911776191216
Rad21	Rad21	0.0019996023322990846	0.0030036148897170643
Rnf17	Rnf17	0.001998612706350949	0.0020930270992330392
Ackr3	Ackr3	0.0019989180169422316	0.0020767580690474203
Gpt	Gpt	0.0019982837467471216	0.023307669746221758
Abi1	Abi1	0.0019964288623013767	0.0024078066925844327
Med21	Med21	0.0020028329610243555	0.015524336403796494
Wdr61	Wdr61	0.0019962299830391926	0.004184645824161948
Pias2	Pias2	0.0025822400994681086	0.022574240206106246
Ctcfl	Ctcfl	0.0020393318469956664	0.00528940667536415
Ercc6	Ercc6	0.002004957097280149	0.0058624759199910345
Trio	Trio	0.0019962525074541685	0.0029723249095668976
Krt85	Krt85	0.0020878523036340297	0.04837077132173817
Myo10	Myo10	0.022368391288991922	0.02848701535502397
Spcs3	Spcs3	0.002000344498578919	0.007249070624767557
Pbx1	Pbx1	0.001996091466402263	0.002154002344828619
Creg1	Creg1	0.002555123937415616	0.004978275443899926
Pura	Pura	0.002001726062539411	0.028509653787745386
Tra2b	Tra2b	0.0019979279806597284	0.0020064703223782003
Exog	Exog	0.0019974776386143143	0.0035930344413696424
Map1a	Map1a	0.003695412769079132	0.029655163227907
Ext2	Ext2	0.006490132353413249	0.0065033486444717676
Flot2	Flot2	0.001997373751977167	0.0021862812881573287
Urgcp	Urgcp	0.0019963305585928843	0.005316765268399201
Cmc1	Cmc1	0.0019967157304535948	0.001996661796224746
Pak4	Pak4	0.0020004082612510143	0.009130422390528062
Ddx21	Ddx21	0.0020071590152115834	0.002042932383241349
Ugdh	Ugdh	0.0020032729273611796	0.0021436288417147125
Erap1	Erap1	0.018032064677260432	0.002007880435569205
Btg3	Btg3	0.0020202973029194407	0.011587076854876269
Nrip1	Nrip1	0.004039887902465063	0.013397245202159978
Eif3k	Eif3k	0.002148999988346607	0.0024441800274620827
Flcn	Flcn	0.0020044817802061096	0.02428688152911766
Etfa	Etfa	0.003289294875588507	0.004196131716136603
Erbb3	Erbb3	0.001999275172302443	0.002013590895705889
Lgi1	Lgi1	0.001998216593552936	0.0021365569901746614
Otub1	Otub1	0.0019983237996335627	0.0025365249389226146
Fads2	Fads2	0.001998728411269663	0.04471481748612042
Poc5	Poc5	0.001998384627162948	0.0031660624227486845
Kndc1	Kndc1	0.0025457653164106756	0.026825552129075652
Nalcn	Nalcn	0.0019962645970688533	0.0029616930236399342
Aim2	Aim2	0.002006410105428583	0.0528941834544373
Cpt1b	Cpt1b	0.002038968357648893	0.013590170369364302
Lad1	Lad1	0.00200392991453676	0.012358460136780937
Rab6a	Rab6a	0.0020005693337268333	0.0041026595034298
Nr1i3	Nr1i3	0.0020005082262842034	0.004483051546999025
Lsm1	Lsm1	0.002010252985775417	0.021749627799945954
Rad17	Rad17	0.0020036246755924594	0.017580216594443015
Use1	Use1	0.004374929910831452	0.0044540727152715
Eif1a	Eif1a	0.0029583328545247033	0.006162004589706644
Wbp11	Wbp11	0.0019976611831881478	0.0063390225085310035
Plek	Plek	0.0019996006569001994	0.027433235849253446
Mypn	Mypn	0.001998704069964171	0.004342820852377775
Ppm1b	Ppm1b	0.0021195171133192507	0.0028841062384779605
Cisd3	Cisd3	0.0019968222058875146	0.01446470346216383
Gfi1b	Gfi1b	0.0020534704131694452	0.10381807742605138
Srgn	Srgn	0.002010432942407515	0.02924758394115194
Brd4	Brd4	0.0019978769396950175	0.0021647338054661003
