source	target	score
TNAP3	RIPK1	0.6862681691583841
LRP6	MESD	0.6862681691583841
PO5F1	P66B	0.686171990101607
SYGP1	NMDZ1	0.686171990101607
SH21A	SLAF1	0.686171990101607
TRAF6	ITCH	0.686171990101607
NANOG	MTA2	0.686171990101607
NMDE2	DLGP1	0.686171990101607
RAGP1	UBC9	0.685804636904709
CDK2	CCNA1	0.685804636904709
DLG4	LRP1	0.685642764127209
HDAC1	HDAC2	0.685590256640218
TIF1B	Q9DCC5	0.685200700525036
NMDE4	DLG4	0.6844033898221139
VPS35	VPS29	0.6844033898221139
LY96	TLR4	0.6841096403355239
ARNT	HIF1A	0.6840394725452621
LEF1	CTNB1	0.6831749409924219
PRIO	A4	0.6831749409924219
HDAC1	KDM1A	0.6830080526611669
TNR6	FADD	0.68255109698835
TERA	UBE4B	0.68255109698835
RPTOR	MTOR	0.68255109698835
CASP8	TNR6	0.68255109698835
MDM2	RL11	0.68255109698835
GRIA2	DLG4	0.68255109698835
TNAP3	TNIP1	0.6806761344428051
KCNA4	DLG4	0.6806761344428051
CTNB1	GSK3B	0.680473364651402
CTNA1	CTNB1	0.680473364651402
CDK4	CEBPA	0.6803984126965611
NEMO	TRAF6	0.6800588209853621
MP2K1	RAF1	0.6800588209853621
STAT3	JAK2	0.6800588209853621
HCK	CBL	0.678424645778734
DLG4	LGI1	0.678154849573458
KCNA1	DLG4	0.678154849573458
KCNA2	DLG4	0.678154849573458
KCAB2	DLG4	0.678154849573458
DLG4	ADA22	0.678154849573458
CN37	DLG4	0.678154849573458
EP300	TF65	0.6773403871023791
MELPH	RB27A	0.6773403871023791
RING1	RYBP	0.67665796381924
CDC27	FZR1	0.6763076223139879
E9PYG6	DOK1	0.6763076223139879
Q3TQ10	TSC1	0.6763076223139879
CDK4	CDN1A	0.6763076223139879
FBXW7	SKP1	0.6763076223139879
BRAF	RAF1	0.6763076223139879
PER1	BMAL1	0.6763076223139879
IKKB	IKKA	0.6763076223139879
TNR1A	TNAP3	0.6763076223139879
CUL1	SKP2	0.6763076223139879
NMDE1	NMDE2	0.6763076223139879
ILK	PARVB	0.6763076223139879
CBL	LYN	0.6763076223139879
HDAC1	SIN3B	0.6763076223139879
CRKL	DAB1	0.676205590039006
IF4E	4EBP2	0.676205590039006
ABL1	DOK1	0.676134601983954
LAMC1	NID1	0.6751799760063979
TNF11	TNR11	0.674828867195232
BMI1	PHC2	0.674210649574745
TRAF6	IRAK1	0.6735740493813579
PER1	KC1E	0.6735740493813579
P85A	PK3CA	0.6735740493813579
HDAC1	TAL1	0.673529509375796
KDM2B	RING2	0.673529509375796
KCC2A	NMDZ1	0.672718366034405
DMD	SNTA1	0.671870523240899
M3K7	TAB1	0.671870523240899
PSN1	PEN2	0.671870523240899
STAM2	HGS	0.671629362074053
PO5F1	KDM1A	0.67120041716316
CBX7	RING2	0.67120041716316
CBL	SH2B2	0.6707890875677691
SEM6A	PLXA2	0.670654903806719
MYD88	TRAF3	0.6704491032136589
LCK	CD4	0.6704267297773859
HS90A	CHRD1	0.667282548850185
D3Z656	SH3G2	0.667282548850185
E9PYV1	HS90B	0.667282548850185
NEDD4	NFIP1	0.667282548850185
HDAC1	SOX2	0.666769825352048
PTN12	SHC1	0.666769825352048
PO5F1	WDR5	0.666729330388277
SOX2	NANOG	0.666729330388277
KCC2A	DLG4	0.6666438329422989
PO5F1	HELLS	0.6666438329422989
PO5F1	RCOR2	0.6666438329422989
MK01	DLG4	0.6666438329422989
AGAP2	DLG4	0.6666438329422989
PO5F1	HCFC1	0.6666438329422989
HDAC1	PO5F1	0.6666438329422989
PO5F1	CTBP2	0.6666438329422989
PO5F1	MTA3	0.6666438329422989
