source	target	score
YGR103W	YMR049C	0.76390313522069
YMR146C	YDR429C	0.763883498970884
YEL032W	YLR274W	0.763871716978708
YAL005C	YPL106C	0.763867789607599
YLR293C	YDR002W	0.763832442358925
YBR198C	YGL112C	0.7638245871926349
YIL126W	YLR357W	0.763801021209058
YIL021W	YOL005C	0.7637735266425509
YKR002W	YJR093C	0.7637499590834691
YDR334W	YPL235W	0.7637460310862509
YER133W	YKL193C	0.763730318895355
YDR080W	YDL077C	0.763722462678688
YBR034C	YDR432W	0.7636831803830699
YDR092W	YGL087C	0.7636596100357801
YDR244W	YGL153W	0.763651753091683
YDL134C	YGL190C	0.763651753091683
YPL086C	YLR384C	0.7636478245893191
YGR200C	YPL086C	0.763643896066747
YLR335W	YNL189W	0.763584965802759
YER012W	YOL038W	0.763569250297574
YJL081C	YDR334W	0.7635653213707391
YBR081C	YDR167W	0.7635653213707391
YLR182W	YER111C	0.763561392423687
YLR396C	YOR106W	0.763561392423687
YOL133W	YDL132W	0.7634828092367241
YBR081C	YGL112C	0.7634160071677829
YLR337C	YOR181W	0.763404217960577
YBR160W	YDL155W	0.763404217960577
YIL021W	YDR404C	0.763380638999968
YNL107W	YDR334W	0.763380638999968
YKL022C	YDR118W	0.763376709102393
YKL018W	YHR119W	0.763376709102393
YOR026W	YGR188C	0.763372779184587
YDR328C	YOR057W	0.763372779184587
YGR195W	YDR280W	0.7633649192882791
YJR045C	YOR232W	0.7633609893097758
YKL103C	YOL082W	0.763353129292073
YLR268W	YLR026C	0.763329548753355
YPL203W	YIL033C	0.7633216884119042
YDL126C	YDL190C	0.7632784550870021
YMR125W	YPL178W	0.763262733270792
YBR170C	YGR048W	0.763219496606317
YCR093W	YAL021C	0.763219496606317
YHR099W	YDR448W	0.7632116351314359
YNL031C	YGR252W	0.7631880502209141
YGL112C	YDR448W	0.7631880502209141
YGR002C	YDR334W	0.7631880502209141
YOR362C	YER012W	0.7631880502209141
YKL022C	YNL172W	0.763180188422105
YGR104C	YBR193C	0.763152671488477
YDL007W	YFR004W	0.7631251535626379
YDR485C	YDR334W	0.7631251535626379
YGL150C	YJL081C	0.763113359862085
YDR477W	YER027C	0.7630976346444801
YLR234W	YMR190C	0.7630976346444801
YGR119C	YGL172W	0.763089771914157
YDR054C	YOL133W	0.763066183237077
YKL101W	YGL003C	0.7630465254491371
YLR293C	YLR347C	0.763038662192159
YDL140C	YOR151C	0.7630307988541479
YDR176W	YBR081C	0.7629757532189341
YER148W	YOR194C	0.7629364324765201
YIL026C	YDL003W	0.7629325002908192
YHR170W	YGL099W	0.762924635858615
YOR132W	YOR069W	0.7628499197089821
YER022W	YBR193C	0.7628499197089821
YDR244W	YLR191W	0.7628459870773392
YGL150C	YDL002C	0.762830256348029
YER148W	YBR198C	0.762830256348029
YNL030W	YNL031C	0.762818458088161
YHR099W	YOR244W	0.762680798237375
YDL126C	YGR048W	0.762676864733683
YIL075C	YFR004W	0.7626453959737779
YJL164C	YIL033C	0.7626414622874891
YGL150C	YFL039C	0.762629661106884
YDL126C	YBR170C	0.762629661106884
YPR019W	YGL201C	0.762606058197809
YOR061W	YOR039W	0.762594256469323
YAL005C	YNL064C	0.762554916055231
YML010W	YGR063C	0.762554916055231
YER125W	YMR275C	0.76254704772886
YGL112C	YMR236W	0.762531310832545
YJL069C	YLR409C	0.7625273765577208
YFR004W	YOR259C	0.7625273765577208
YFR004W	YFR010W	0.762503770482481
YBL007C	YOR181W	0.7624762291376701
YJR042W	YGL092W	0.762472294578629
YMR309C	YBR079C	0.7624565561394301
YIL021W	YPR187W	0.762432947871483
YMR061W	YDR228C	0.762432947871483
YKL108W	YJL090C	0.7624290130890881
YOR290C	YJL176C	0.762409338872498
YPL031C	YGR233C	0.7623739240031759
YCR077C	YDL160C	0.7623542483648922
YDL017W	YBL023C	0.7623345722187859
YDR394W	YGR232W	0.762303089328648
YDL029W	YJR065C	0.762299153875957
YEL020W-A	YHR005C-A	0.762299153875957
YIL021W	YBR154C	0.762291282909624
YOR261C	YDL147W	0.76220863285586
YOR260W	YLR291C	0.762204696915468
YKR068C	YBR254C	0.7621181010840771
YGL150C	YDR190C	0.7621141646761329
YIR005W	YGL174W	0.7620708628467571
YBR200W	YHL007C	0.7620590528298969
YKL145W	YDL007W	0.762031495412099
YFL024C	YNL107W	0.762027558556776
YGR274C	YDR145W	0.762027558556776
YBR198C	YDR448W	0.762019684785111
YDR489W	YDR013W	0.762011810932088
YBR081C	YPL254W	0.761984251805771
YJR066W	YHR186C	0.761984251805771
YJL061W	YIL115C	0.7619803147063579
YDR489W	YLR103C	0.7619803147063579
YJL072C	YDR489W	0.7619724404465029
YCR093W	YER068W	0.7619133809036299
YCR057C	YLR409C	0.761909443437998
YOL145C	YLR418C	0.7619055059520179
YIL035C	YGL019W	0.7618976309190101
YLR337C	YMR109W	0.7618031241731691
YKL145W	YGL048C	0.7617873719089859
YOR206W	YDR060W	0.761779495654747
YGR285C	YHR064C	0.7617716193190709
YDR427W	YDL147W	0.7617676811206942
YBR198C	YGR274C	0.761759804662861
YDR392W	YDR448W	0.7617401131619631
YKL022C	YOR249C	0.761732236419071
YNL152W	YMR032W	0.7617282980170821
YEL015W	YNL118C	0.7617007286329721
YKL145W	YBR272C	0.7615983193258772
YER146W	YJL124C	0.7615865019812259
YCR002C	YLR314C	0.761566805999316
YGL116W	YJL030W	0.7615392307688421
YHR171W	YNR007C	0.7615392307688421
YLR006C	YDL235C	0.7615195335643069
YOR361C	YPR041W	0.7614801376267141
YHR034C	YDR190C	0.761428919860548
YDL029W	YBR234C	0.76142497988968
YBR231C	YDR334W	0.7614210398984259
YDR448W	YDR145W	0.7614210398984259
YPL129W	YGL150C	0.761417099886783
YER148W	YKL058W	0.7614131598547529
YML065W	YPR162C	0.7613855790596509
YLL036C	YLR117C	0.7613776986489691
YIL065C	YJL112W	0.761369818156722
YOR260W	YDR211W	0.7613619375829079
YFL039C	YDR334W	0.7613146524269709
YJR093C	YPR107C	0.7612949494118559
YOR341W	YPR010C	0.7612673643339771
YPR141C	YMR198W	0.761259482699559
YJL026W	YGR180C	0.761227955345835
YPR019W	YBR202W	0.7612121911793059
YEL037C	YDL190C	0.7612121911793059
YCR002C	YHR107C	0.7612082500866629
YBR289W	YOR290C	0.7611964266863052
YBR081C	YLR055C	0.7611964266863052
YAR002W	YLR347C	0.7611688380379219
YBR217W	YPL149W	0.761157014025359
YKL135C	YPL259C	0.761133365449183
YBR198C	YDR167W	0.761097891207169
YIL076W	YDL145C	0.7610860660923969
YOR061W	YGL019W	0.761082124346644
YJR007W	YER025W	0.7610190536379491
YMR022W	YOL013C	0.7610032851440258
YDL126C	YBL058W	0.7609441503816159
YMR186W	YOR027W	0.7609441503816159
YMR049C	YOR272W	0.7609441503816159
YDR308C	YOL135C	0.760928380335495
YGR095C	YOL021C	0.760908667318227
YDR448W	YPL254W	0.7609007819683191
YKL022C	YLR102C	0.760877125428278
YBR279W	YLR418C	0.760877125428278
YGR103W	YOR272W	0.760877125428278
YLR396C	YGL212W	0.7608692397514829
YFR034C	YPL031C	0.7608534681527049
YDR054C	YDL132W	0.760833753194481
YER148W	YGR246C	0.760810094570255
YGL212W	YMR197C	0.760758831693724
YBR160W	YAL040C	0.76072728359117
YJL050W	YOL115W	0.7607233399863579
YBL026W	YJL124C	0.760715452715403
YGL116W	YDR113C	0.760703621655635
YFL009W	YDL132W	0.760695734180231
YGL112C	YDR145W	0.760695734180231
YFR021W	YNL242W	0.760691790411859
YJL061W	YMR047C	0.760644463596495
YOR194C	YKL058W	0.7606405195622958
YBR279W	YOL145C	0.7606010780954758
YBR279W	YGL244W	0.760593189556678
YBR081C	YMR236W	0.760581356595072
YDL140C	YDR404C	0.760581356595072
YBR081C	YHR099W	0.760581356595072
YFL024C	YJL081C	0.760581356595072
YAR007C	YNL312W	0.7605695234493691
YER172C	YKL173W	0.760549801130735
YMR213W	YDR416W	0.7605379674940629
YOR260W	YGR083C	0.760534022907588
YGR103W	YPL093W	0.7605261336732622
YMR223W	YDR448W	0.7605261336732622
YBL074C	YHR165C	0.760506410229394
YJL124C	YLR438C-A	0.7604827414215259
YER133W	YDR028C	0.760439346693739
YOR098C	YNL189W	0.7604314564771759
YOL135C	YOR174W	0.7603880588225991
YER177W	YDR001C	0.7603130934029741
YAR007C	YBR136W	0.760305201876194
YKR068C	YML077W	0.76028547270088
YLL036C	YDL209C	0.76028547270088
YGL244W	YOL145C	0.7602736349499429
YGL244W	YLR418C	0.760265743013586
YGR104C	YOL135C	0.760265743013586
YBR175W	YHR119W	0.760265743013586
YHR027C	YDL007W	0.7602499588950992
YBR160W	YMR199W	0.760246012814273
