source	target	Weight	edge type
Q0250	YJL062W-A	1.0	PPI
Q0250	YJR045C	1.0	PPI
Q0250	YJR121W	1.0	PPI
Q0250	YKL192C	1.0	PPI
Q0250	YKR016W	1.0	PPI
Q0250	YLR203C	1.0	PPI
Q0250	YLR395C	1.0	PPI
Q0250	YML030W	1.0	PPI
Q0250	YML129C	1.0	PPI
Q0250	YMR128W	1.0	PPI
Q0250	YMR244C-A	1.0	PPI
Q0250	YMR256C	1.0	PPI
Q0250	YNL026W	1.0	PPI
Q0250	YNL052W	1.0	PPI
Q0250	YNL305C	1.0	PPI
Q0250	YNR017W	1.0	PPI
Q0250	YNR018W	1.0	PPI
Q0250	YOR065W	1.0	PPI
Q0250	YOR090C	1.0	PPI
Q0250	YPR191W	1.0	PPI
Q0275	YDR231C	1.0	PPI
Q0275	YER154W	1.0	PPI
Q0275	YGL187C	1.0	PPI
Q0275	YGL191W	1.0	PPI
Q0275	YGR062C	1.0	PPI
Q0275	YHR001W-A	1.0	PPI
Q0275	YHR051W	1.0	PPI
Q0275	YIR024C	1.0	PPI
Q0275	YJL003W	1.0	PPI
Q0275	YJL062W-A	1.0	PPI
Q0275	YJR121W	1.0	PPI
Q0275	YLR038C	1.0	PPI
Q0275	YLR203C	1.0	PPI
Q0275	YLR395C	1.0	PPI
Q0275	YML030W	1.0	PPI
Q0275	YML129C	1.0	PPI
Q0275	YMR256C	1.0	PPI
Q0275	YNL052W	1.0	PPI
Q0275	YNR018W	1.0	PPI
YAL001C	YAL005C	1.0	PPI
YAL001C	YBR123C	1.0	PPI
YAL001C	YDL229W	1.0	PPI
YAL001C	YDR362C	1.0	PPI
YAL001C	YDR449C	1.0	PPI
YAL001C	YGR047C	1.0	PPI
YAL001C	YGR246C	1.0	PPI
YAL001C	YIL149C	1.0	PPI
YAL001C	YKR095W	1.0	PPI
YAL001C	YLL024C	1.0	PPI
YAL001C	YMR039C	1.0	PPI
YAL001C	YMR093W	1.0	PPI
YAL001C	YNL030W	1.0	PPI
YAL001C	YNL039W	1.0	PPI
YAL001C	YNL209W	1.0	PPI
YAL001C	YOR110W	1.0	PPI
YAL001C	YPL007C	1.0	PPI
YAL001C	YPL106C	1.0	PPI
YAL001C	YPR190C	1.0	PPI
YAL002W	YAL005C	1.0	PPI
YAL002W	YBR169C	1.0	PPI
YAL002W	YDL077C	1.0	PPI
YAL002W	YDL229W	1.0	PPI
YAL002W	YDR171W	1.0	PPI
YAL002W	YDR495C	1.0	PPI
YAL002W	YKR014C	1.0	PPI
YAL002W	YLL024C	1.0	PPI
YAL002W	YLR148W	1.0	PPI
YAL002W	YLR396C	1.0	PPI
YAL002W	YMR186W	1.0	PPI
YAL002W	YMR231W	1.0	PPI
YAL002W	YNL093W	1.0	PPI
YAL002W	YNL209W	1.0	PPI
YAL002W	YOR089C	1.0	PPI
YAL002W	YPL045W	1.0	PPI
YAL002W	YPL106C	1.0	PPI
YAL002W	YPL240C	1.0	PPI
YAL003W	YAL005C	1.0	PPI
YAL003W	YBL075C	1.0	PPI
YAL003W	YBR118W	1.0	PPI
YAL003W	YBR160W	1.0	PPI
YAL003W	YDL229W	1.0	PPI
YAL003W	YDR135C	1.0	PPI
YAL003W	YDR457W	1.0	PPI
YAL003W	YER151C	1.0	PPI
YAL003W	YFR004W	1.0	PPI
YAL003W	YHR064C	1.0	PPI
YAL003W	YJL034W	1.0	PPI
YAL003W	YJR125C	1.0	PPI
YAL003W	YKL081W	1.0	PPI
YAL003W	YKL188C	1.0	PPI
YAL003W	YLL024C	1.0	PPI
YAL003W	YLL026W	1.0	PPI
YAL003W	YLR249W	1.0	PPI
YAL003W	YMR186W	1.0	PPI
YAL003W	YNL209W	1.0	PPI
YAL003W	YPL048W	1.0	PPI
YAL003W	YPL106C	1.0	PPI
YAL003W	YPL240C	1.0	PPI
YAL004W	YML109W	1.0	PPI
YAL005C	YAL007C	1.0	PPI
YAL005C	YAL011W	1.0	PPI
YAL005C	YAL012W	1.0	PPI
YAL005C	YAL016W	1.0	PPI
YAL005C	YAL017W	1.0	PPI
YAL005C	YAL019W	1.0	PPI
YAL005C	YAL020C	1.0	PPI
YAL005C	YAL021C	1.0	PPI
YAL005C	YAL023C	1.0	PPI
YAL005C	YAL027W	1.0	PPI
YAL005C	YAL028W	1.0	PPI
YAL005C	YAL029C	1.0	PPI
YAL005C	YAL030W	1.0	PPI
YAL005C	YAL031C	1.0	PPI
YAL005C	YAL034C	1.0	PPI
YAL005C	YAL034W-A	1.0	PPI
YAL005C	YAL035W	1.0	PPI
YAL005C	YAL036C	1.0	PPI
YAL005C	YAL038W	1.0	PPI
YAL005C	YAL040C	1.0	PPI
YAL005C	YAL041W	1.0	PPI
YAL005C	YAL043C	1.0	PPI
YAL005C	YAL044W-A	1.0	PPI
YAL005C	YAL049C	1.0	PPI
YAL005C	YAL053W	1.0	PPI
YAL005C	YAL055W	1.0	PPI
YAL005C	YAL060W	1.0	PPI
YAL005C	YAL061W	1.0	PPI
YAL005C	YAL062W	1.0	PPI
YAL005C	YAL063C	1.0	PPI
YAL005C	YAR002C-A	1.0	PPI
YAL005C	YAR002W	1.0	PPI
YAL005C	YAR007C	1.0	PPI
