source	target	Weight_1>2	Weight_2>3	Weight_3>4	Weight_4>5	Weight_5>6	Weight_6>7	Weight_7>8	Weight_8>9	Weight_9>10	Weight_10>11	Weight_11>12	Weight_12>13	Weight_13>14	Weight_14>15	Weight_15>16
YGR280C	YGR280C	0.08021366449915228	0.15445046133148485	0.12051779630585514	0.03628893545263389	0.025439292845531872	0.02348591390414919	0.0630454207556557	0.05918374702907067	0.03798772247320517	0.08991851508573447	0.12131330794343534	0.07936407431303805	0.12100278642411956	0.16701391555606654	0.15010706477197938
YIL003W	YIL003W	0.11330111269787214	0.11602490903214366	0.10786842571081273	0.09252278003810646	0.0748693273552721	0.07701482298875459	0.08746956402066389	0.04637584680654755	0.04240400255109512	0.13483925244437353	0.1420567811358453	0.07203915763921347	0.10035153544618437	0.1047814287975302	0.09291449871315235
YPR182W	YPR182W	0.037479494391017554	0.0883645672553734	0.10396428619938723	0.0995707903701438	0.07157039430481418	0.046586259662679964	0.033195315964508545	0.06855257615268243	0.15237836649446243	0.15599938783071393	0.08180705419468745	0.05237075380393351	0.11264341312748324	0.08744923947290315	0.061935164868813675
YDR522C	YDR522C	0.05120237893657527	0.13877486628249297	0.14967109728604794	0.0934968692486289	0.04773511283056292	0.07470117797658951	0.09396817717193143	0.08719150027064052	0.0640360209636189	0.0325440152132619	0.05617385614790924	0.06025256534281363	0.12404212762755464	0.13540565249627776	0.07747294047357928
YNL284C-A	YNL284C-A	0.07561250577662514	0.10230120928952482	0.11323627092230047	0.08779520991556922	0.056807251774379834	0.03950221850815599	0.07614377250225568	0.07480688902019272	0.03853000769310681	0.02778442735913267	0.03976854993105227	0.06358591477255172	0.06661516387333496	0.08049903819791678	0.1242508225502415
YER095W	YER095W	0.3653845887937658	0.32601938212396736	0.24181859496872085	0.10341476483499842	0.1541788788326511	0.30567596897650623	0.41744463672047144	0.48085432168757747	0.4786556406309648	0.37204533253717476	0.17689954451033124	0.18104297203557385	0.22407346422658667	0.21140561020092405	0.23675236094355323
YDL120W	YDL120W	0.060445591796700886	0.032303894296656886	0.04099602003526071	0.09786454327359828	0.12222640419711336	0.09750693685284376	0.08940474269410383	0.09943871122863787	0.06118659391779145	0.08310656518390139	0.0765498740545648	0.0268050189056835	0.06829880178345459	0.08312338342228588	0.051782777074860536
YDR321W	YDR321W	0.03780158413136849	0.04070724059378354	0.05766682325584869	0.058729275579425595	0.04332457842571782	0.04531429405628753	0.03085663186684466	0.025911331783814464	0.02644768860036817	0.04481572130316431	0.07059826593241789	0.08116724384876399	0.057627525652535073	0.025912646154830864	0.01788118830656354
YHR004C	YHR004C	0.16185006284257583	0.06784178882899264	0.06922216503973791	0.07307458226398736	0.0703898440231867	0.05951486206007091	0.024926312690147827	0.09660845549806173	0.09642041511418674	0.035128544836874574	0.033153424675182515	0.033256927539649865	0.03769812416453871	0.03383749898631109	0.02738484744651754
YMR081C	YMR081C	0.10056339218901256	0.13349564024810334	0.11947021613897607	0.09076249278422253	0.03573851426139569	0.047739092585708486	0.05754039822184394	0.036413887697585925	0.036576927007150435	0.09250308177753185	0.12094613945667908	0.12791461772710855	0.09856293700904106	0.02549003199132972	0.00851463200606459
YEL034W	YEL034W	0.11449257345135035	0.0540443572274447	0.04510799777243179	0.03159306914519795	0.013076560284814041	0.030643413734242498	0.03619480423075975	0.04088195884232856	0.037266261810259126	0.10525069856855854	0.10861990194871901	0.028460328442674255	0.09418838729014886	0.11141426531227296	0.06338896394428904
YOR134W	YOR134W	0.27026898233092284	0.13378526459325052	0.05141399481538636	0.14731430209922616	0.28071535437376466	0.2582811129524849	0.15670305461036724	0.1259097915106044	0.11966213337180998	0.14026214912101032	0.1580733585115915	0.10178886042354825	0.11068808912390714	0.09123791214635678	0.1097208249496849
YJL197W	YJL197W	0.03404913180503865	0.03166821241629387	0.03162571591379534	0.028979520596663866	0.06683514413689758	0.07221688764298755	0.033265467164465615	0.016494520705955033	0.013939197877042932	0.018074911549474427	0.01608391368712659	0.020514586798887232	0.027110270502370356	0.04273958242556471	0.05552066565574987
YNL291C	YNL291C	0.17905506633923557	0.14490269501219746	0.09133751680312586	0.04891733615734485	0.06119068600279678	0.11276575969098618	0.1443778805590226	0.15648745902352074	0.15209020795718367	0.09780292894496236	0.05441443167736728	0.046405543627752364	0.015273208891411191	0.031723073290470805	0.047246052812764984
YBR088C	YBR088C	0.4747979830244313	0.44347603295314303	0.35893560014267734	0.20308494172683778	0.24777945538208582	0.41218165933963147	0.5479973453950053	0.6097875294938037	0.5882592417337131	0.4263373018211797	0.15414240109359956	0.2118507990188072	0.30550076205413856	0.3049214339411579	0.28323295999794906
YBR109C	YBR109C	0.0314455834584205	0.021559930152237824	0.02260002162263221	0.07252674390812223	0.0998111612170805	0.07947731006288161	0.08903786461580684	0.09091597941046405	0.08802338026978798	0.10366403035189717	0.06615981895714484	0.019760377384763606	0.09012563985662247	0.1271062699094234	0.0751739221644049
YDR082W	YDR082W	0.05403386633075201	0.10825883483488778	0.08903879077919341	0.03956947999928279	0.07365013812059512	0.09976344203428049	0.07830196416837797	0.041660538914457784	0.007575202510400382	0.04108297422213195	0.07271709680731062	0.08014895562288872	0.10006991158768719	0.1228349703069861	0.07675505213685585
YLR126C	YLR126C	0.18167651330190163	0.15834128805506115	0.10038735640752373	0.05941567293280491	0.1338591636333463	0.19176561018311913	0.18296964803625168	0.1694794987870732	0.09470403955929202	0.0486757995477317	0.048351032205704206	0.04617013143467792	0.06157401530644153	0.06692948569728036	0.06027819110253182
YML118W	YML118W	0.07437102588549115	0.10813261510182565	0.1431646472542548	0.13772184148897845	0.09017595284664326	0.048599873884400055	0.11280947064868228	0.20159171495852118	0.20909481118250697	0.20554111043651366	0.17438905725257903	0.0493456916099294	0.11801267239854142	0.14910434301106587	0.05951252600116295
YER066C-A	YER066C-A	0.37620885799548753	0.43840679336930516	0.4511966453884271	0.4062468048845211	0.35155882589466786	0.24110010464657536	0.16848847902457842	0.08845071530023671	0.1448811278215749	0.2319059788174603	0.2620281289457607	0.3816981772321991	0.4728952930012385	0.4703942972211277	0.4146492707205876
