source	target	Weight	edge type
Q0045	Q0085	0.229153332945432	PPI
Q0045	Q0105	0.229153332945432	PPI
Q0045	Q0250	0.37011417157412396	PPI
Q0045	Q0275	0.34523578899065505	PPI
Q0045	YBL045C	0.350899558278434	PPI
Q0045	YBR255C-A	0.229153332945432	PPI
Q0045	YCL017C	0.229153332945432	PPI
Q0045	YDL067C	0.229153332945432	PPI
Q0045	YDR119W-A	0.229153332945432	PPI
Q0045	YDR231C	0.279712128803883	PPI
Q0045	YER154W	0.229153332945432	PPI
Q0045	YGL187C	0.36149273851628044	PPI
Q0045	YGL191W	0.23934285032145855	PPI
Q0045	YGR033C	0.229153332945432	PPI
Q0045	YGR112W	0.3138944886422825	PPI
Q0045	YHR001W-A	0.229153332945432	PPI
Q0045	YHR051W	0.32018822589220847	PPI
Q0045	YIL157C	0.32674646134273605	PPI
Q0045	YIR024C	0.229153332945432	PPI
Q0045	YJL003W	0.2563849644577465	PPI
Q0045	YJL062W-A	0.345207908368276	PPI
Q0045	YJR045C	0.23934285032145855	PPI
Q0045	YKL192C	0.229153332945432	PPI
Q0045	YKR016W	0.23934285032145855	PPI
Q0045	YLR203C	0.35924382388567244	PPI
Q0045	YLR395C	0.303099406136007	PPI
Q0045	YML030W	0.352562051276084	PPI
Q0045	YML129C	0.328479831953196	PPI
Q0045	YMR256C	0.284626509657832	PPI
Q0045	YNL052W	0.229153332945432	PPI
Q0045	YNR017W	0.229153332945432	PPI
Q0045	YNR018W	0.30655688705361056	PPI
Q0045	YNR020C	0.229153332945432	PPI
Q0045	YOR020C	0.229153332945432	PPI
Q0045	YPL172C	0.229153332945432	PPI
Q0045	YPR191W	0.2227015940670385	PPI
Q0050	YDL229W	0.203297811104793	PPI
Q0050	YEL030W	0.2227015940670385	PPI
Q0050	YJR045C	0.23934285032145855	PPI
Q0050	YKR016W	0.23934285032145855	PPI
Q0050	YNL064C	0.203297811104793	PPI
Q0050	YNL209W	0.203297811104793	PPI
Q0050	YNL227C	0.2227015940670385	PPI
Q0050	YPR140W	0.246659684585868	PPI
Q0055	YDL229W	0.203297811104793	PPI
Q0055	YGL187C	0.23934285032145855	PPI
Q0055	YKR016W	0.23934285032145855	PPI
Q0065	YAL005C	0.203297811104793	PPI
Q0065	YGL187C	0.23934285032145855	PPI
Q0065	YKR016W	0.23934285032145855	PPI
Q0070	YAL005C	0.203297811104793	PPI
Q0070	YBL075C	0.203297811104793	PPI
Q0070	YDL229W	0.203297811104793	PPI
Q0070	YGL187C	0.23934285032145855	PPI
Q0070	YKR016W	0.23934285032145855	PPI
Q0070	YMR186W	0.2227015940670385	PPI
