	logFC	logCPM	F	PValue	FDR
Xkr4	-0.273969923895204	2.46556469029381	2.1132896758788	0.167335258165153	0.58224605491682
Sox17	0.299644038208593	3.23416340942001	3.07723512852882	0.101261981211271	0.501907211221082
Mrpl15	-0.00279001385610399	4.8256115391837	0.0014879480912133	0.969756397995899	0.991382823862711
Lypla1	-0.108508677868048	5.566957540528	2.55465583394462	0.131537135146443	0.541300316102704
Tcea1	-0.266007540307174	5.49016570625206	16.9177029132225	0.000985284696169705	0.130171439192899
Rgs20	-0.217379129092013	1.2974178655391	0.869567396674277	0.366350215426944	0.743398313563389
Atp6v1h	-0.0503734367069244	7.45517633495904	1.42167411456868	0.252284821990445	0.661871330825544
Oprk1	-0.519926950947121	1.47839300824417	3.14046586549988	0.0974338953733911	0.495450804296679
Rb1cc1	-0.0583214575520124	7.1530935026046	1.76200122549399	0.204905844551505	0.616737778296937
St18	-0.59142280816064	-3.01844918720322	0.195528032404961	0.664881936500254	0.890819589133761
Pcmtd1	0.0970020410107927	6.23552695778542	2.67970436195526	0.123157254646124	0.530467041637592
Sntg1	0.119239786387875	2.75453144372571	0.68885648499178	0.420014970456071	0.773805724033159
Rrs1	-0.196235077749298	4.14424533826786	3.64676138670358	0.0761740260140744	0.460231353825621
Adhfe1	0.83963664815724	1.4912963977088	12.3786143240269	0.00325150801634936	0.190345036848992
2610203C22Rik	0.440922730574125	-0.00541684789549478	1.22925703924156	0.285611053966166	0.686498003351354
Mybl1	0.163057755435695	2.49199938241454	0.850366702127439	0.371545238777608	0.747577933706359
Vcpip1	-0.0716965430070042	6.57878038865063	2.00600990550294	0.177809846785731	0.592222851819633
1700034P13Rik	-0.257474481591355	3.34619446370349	4.2254026949225	0.058303414135148	0.422358511761641
Sgk3	-0.0146493655094972	3.74167096214971	0.0166243607462213	0.899180893134743	0.970759767016767
Mcmdc2	-1.21240723219794	-1.0830311447601	3.46769608504038	0.082976610386141	0.474058260722404
Snhg6	-0.156464080185125	2.31429797569743	0.872357100780981	0.365604369505503	0.742801483648974
Tcf24	0.556899782985234	-0.728165085031001	1.09217182352178	0.313108384893902	0.707571591832338
Cops5	0.0271064879713804	6.92694865418513	0.21206418436568	0.652003421403759	0.887331269987186
Cspp1	0.335736813070638	3.57008066295571	5.96785381728698	0.0279121591309389	0.346363603302662
Arfgef1	0.0166320299171746	7.67350497484031	0.168629281559909	0.68733955463866	0.899211420071422
Cpa6	0.769341111283282	-2.23987520964539	0.747057660979907	0.401488392040128	0.762831920629585
Prex2	-0.129490809790859	5.28707641664622	1.69581683279771	0.215937320752736	0.628109992817882
A830018L16Rik	-0.032139827525123	6.15105825466362	0.339337766629508	0.569164207954891	0.850353149168944
Sulf1	-0.0487719814372247	5.33179560974025	0.162769985911073	0.695562188811198	0.903629564637459
Slco5a1	0.0324744180252252	5.96895935934567	0.193363559262745	0.666813725689809	0.891503668046137
Ncoa2	-0.0165848145663678	6.60787966169631	0.101778505176795	0.754257301195487	0.92441383080364
Tram1	-0.106731365131624	5.46893239577898	2.43082357521973	0.140534860845777	0.552447384014436
Lactb2	0.0681896375006163	4.78008274732221	0.777340313179271	0.392343299347768	0.758393478221936
Eya1	0.39366101584	0.914384160414257	1.27759004630143	0.276740625797159	0.680127408754213
Msc	0.242975138695746	2.22753842003526	1.58534886759185	0.227893815904248	0.641129846643744
Trpa1	-0.111351256721001	5.93730058726473	4.18598198063643	0.0593507007043957	0.425100776175266
