	logFC	logCPM	F	PValue	FDR
YAL067C	0.260824616050691	2.23311345225921	0.780070303041954	0.38603575255061	0.546820946243038
YAL065C	-0.147923308884694	-0.238266436075601	0.160725344854925	0.692099183121334	0.799218545507171
YAL064W-B	-0.164277779062563	-0.217116887004753	0.239958738752348	0.62876245679907	0.751695800061512
YAL064C-A	-0.085966650289836	1.8726264116382	0.102515028261226	0.751652022333639	0.844485240203397
YAL064W	0.31253820569821	-0.874119422205583	0.328137475434648	0.572180227376555	0.71082767983805
YAL063C-A	0.0435007790230664	0.915874201036918	0.0108258535706041	0.9180116753988	0.952145754638309
YAL063C	0.179787644862681	3.02187363155165	1.52541005694408	0.228967863841683	0.384940207978904
YAL062W	0.871906516465841	4.56121688473968	44.8682346019519	6.87970462433841e-07	2.17119192702629e-05
YAL061W	0.621033433049096	4.8232784340297	15.3149558382883	0.000672447503306208	0.00488274939342655
YAL060W	1.1142935974305	7.70845597767958	76.9918235384736	6.87139851657851e-09	6.87774134597843e-07
YAL059C-A	-0.245128894101574	4.74914796967285	2.49988540700702	0.127176348344641	0.250426550342081
YAL059W	-0.181866923487989	5.77092347424366	1.80634196116575	0.191737218028592	0.337968664452458
YAL058W	0.182547626333239	5.56884828757055	4.44251964950034	0.0458795976248812	0.120740542238888
YAL056C-A	0.130476013518543	3.55496936439499	0.461387480601001	0.503589743118829	0.650974541770535
YAL056W	0.0661761785188456	5.76776215901573	0.493122309148748	0.489412170796012	0.640280632052857
YAL055W	-0.0777274340146246	3.36603115634787	0.175670907721878	0.678913820501989	0.789175150292289
YAL054C	1.09954178347967	4.81222145348035	20.3912040561791	0.000172524098026965	0.00168788237859163
YAL053W	-1.25858098617203	7.93327778273393	80.522019221594	4.55373827928363e-09	5.69742716250371e-07
YAL051W	-0.107658055447359	5.19569322220843	0.923211611245663	0.346382894212375	0.5095109902206
YAL049C	-0.065895122536284	6.45927416208552	0.331727187877053	0.570100570057316	0.709192028449885
YAL048C	-0.00333706418458256	4.44977931779092	0.000283498007103325	0.986708193304162	0.992198377996426
YAL047W-A	0.19121996282057	0.527302392585765	0.238041891095226	0.630129775034748	0.752500792286356
YAL047C	0.20245702549075	3.82968197860119	1.59511462670623	0.218943304020443	0.373141195028209
YAL046C	0.353662397534609	5.04299792705346	7.89245877771004	0.00981282384248579	0.038046622121104
YAL045C	-0.0697844764225792	4.99106895018294	0.227345253122034	0.637888361753876	0.758744668883732
YAL044W-A	-0.0890761780613357	5.43171483241017	0.349596435993183	0.559967520707299	0.700740274999363
YAL044C	-0.0695825565483925	6.69909478668683	0.278465340094047	0.602639528255718	0.732307204114998
YAL043C	0.0573076003514439	6.36105501130098	0.320848747947419	0.576450095749345	0.714358918656236
YAL042C-A	0.137280160864998	5.96593722968648	0.921934331854883	0.346710419130176	0.509647082435817
YAL042W	0.139430075639317	8.36969956731808	3.33720102757034	0.0804161093452041	0.182187704287808
YAL041W	-0.0259885688606201	6.29174715715751	0.0557426053418974	0.815394773498274	0.884749565773811
YAL040C	0.106882453769089	6.82838729067972	0.169652345799875	0.684593249604889	0.793388734470333
YAL039C	-0.681179782495698	5.4152607589552	16.7638788315855	0.000427080848957069	0.00348630866162445
YAL038W	-0.465328043802627	12.838919625564	24.343553569381	5.14676559076545e-05	0.000650191396767379
YAL037C-B	-0.447183522838739	12.3565233714563	21.7063766279937	0.000102862413806053	0.0011228571547352
YAL037C-A	-0.0160038328686915	3.76436622571284	0.000629988667692456	0.980223153895471	0.989155755182486
YAL037W	-0.155013319528188	3.09116551439738	0.631373636782489	0.434776746501181	0.590426737183415
YAL036C	0.261418909481949	7.37470910083132	9.58655409317667	0.00499764983672061	0.0229299787289875
YAL035W	0.0695948001301087	8.39656416433415	0.602402758384213	0.44537833810627	0.599303302527279
