	logFC	logCPM	F	PValue	FDR
YAL067C	-0.687532693911028	2.23311345225921	3.95500071940772	0.0584577368735741	0.404172195642373
YAL065C	-0.854626823522715	-0.238266436075601	3.69322339136995	0.0667995414850756	0.431807146190468
YAL064W-B	0.688838885172167	-0.217116887004753	3.20446602774625	0.0862879532320329	0.481445641995898
YAL064C-A	-0.112685887510116	1.8726264116382	0.199032285059275	0.659572876054658	0.914379103262648
YAL064W	-0.757261960530235	-0.874119422205583	1.20525128935256	0.283358899817027	0.744852495826568
YAL063C-A	0.365749787925587	0.915874201036918	0.882786143631463	0.356965375326788	0.789551362966169
YAL063C	0.190119254426848	3.02187363155165	1.54737119889257	0.225748218885788	0.687949731422908
YAL062W	-0.243320190595598	4.56121688473968	3.23679347028669	0.0848136820641955	0.478575728976284
YAL061W	-0.0603270349257611	4.8232784340297	0.128321554179185	0.723365672961977	0.934514906332531
YAL060W	0.0336617188325062	7.70845597767958	0.0704081966369072	0.793049332054255	0.957072705313482
YAL059C-A	-0.0266871067457676	4.74914796967285	0.0319990681243948	0.859557790206172	0.97758152469553
YAL059W	-0.0735611820778798	5.77092347424366	0.311090096888642	0.582269036205373	0.890011154914266
YAL058W	0.0266734216831461	5.56884828757055	0.0954055860238031	0.760126907372366	0.94551095190289
YAL056C-A	-0.0269795762710497	3.55496936439499	0.0207154209953508	0.886779892256064	0.984542391364911
YAL056W	0.0100541006909247	5.76776215901573	0.011273528218376	0.916340136998687	0.989659517150308
YAL055W	-0.0783545952595295	3.36603115634787	0.178274602723653	0.676685190326041	0.920450313247172
YAL054C	0.177314394583499	4.81222145348035	0.436050975183539	0.515914134022661	0.873410704559188
YAL053W	0.228962717682636	7.93327778273393	2.70427480229871	0.113347130338015	0.537519838164964
YAL051W	-0.0828628585196475	5.19569322220843	0.550980375759524	0.465247709350246	0.848193395744903
YAL049C	0.139131817881003	6.45927416208552	1.42096576498688	0.245103467183707	0.708685826115038
YAL048C	0.00438476317544958	4.44977931779092	0.000456503595492462	0.983133768416748	0.998768682815374
YAL047W-A	0.352146554671807	0.527302392585765	0.574136905594513	0.45612575680199	0.844862133616824
YAL047C	0.138407248935864	3.82968197860119	0.778313384548198	0.386562634390341	0.806232252402749
YAL046C	0.0419711177721693	5.04299792705346	0.11227294955488	0.740533649199907	0.940541983054208
YAL045C	0.100663778904491	4.99106895018294	0.449698899960827	0.508993364173112	0.869830844292134
YAL044W-A	-0.00811243224370239	5.43171483241017	0.00279322496725142	0.958295847974419	0.99613561133675
YAL044C	-0.0956604930216246	6.69909478668683	0.510154361802218	0.482083196241855	0.856816549565807
YAL043C	-0.0272573150603905	6.36105501130098	0.0716421589994364	0.791287947073124	0.956011027605895
YAL042C-A	0.0648826411680301	5.96593722968648	0.206057128083881	0.654025972006358	0.912648371687574
YAL042W	-0.0277699629074745	8.36969956731808	0.132571990926067	0.719024633840539	0.933354802028441
YAL041W	0.00974368918132189	6.29174715715751	0.00780905076585799	0.930329755274145	0.991683922791483
YAL040C	-0.402883835749099	6.82838729067972	2.39569265030311	0.136603054311379	0.58201681024683
YAL039C	-0.207201055199871	5.4152607589552	1.47704782743019	0.236265719298266	0.699662128901941
YAL038W	0.0505738679487417	12.838919625564	0.288737468337276	0.596065626735028	0.892598029133854
YAL037C-B	0.0416609228725978	12.3565233714563	0.189102542789953	0.667618523045646	0.917157804958935
YAL037C-A	-2.04759069952181	3.76436622571284	10.9780466877703	0.00345279227192271	0.121426305519617
YAL037W	-0.00833725173907768	3.09116551439738	0.00164668481714555	0.967972867597075	0.997597008239101
YAL036C	0.00922351915925614	7.37470910083132	0.0120227580186483	0.913616091265419	0.989553693693816
YAL035W	0.106136783468341	8.39656416433415	1.40569767091385	0.247582478520628	0.711680129328214
YAL034C-B	0.105240368742776	2.89394513677135	0.301380763136522	0.588179394040777	0.89129119192412
YAL034W-A	0.39099106512489	3.77995716037225	4.91876994890647	0.0364631810205672	0.335543784610764
YAL034C	-0.326350304781773	4.24982792809913	5.86321594894474	0.0235358464509372	0.274351517798814
YAL033W	-0.0972301603137858	4.87158819673767	0.352719059592992	0.558233012701637	0.884464435458999
YAL032C	-0.256672710327643	4.18322686810292	2.31379389704858	0.1415282378769	0.592576843510289
YAL031W-A	-0.320789024479518	2.92824739392141	1.86947023981134	0.184428888705186	0.647541473241196
YAL031C	-0.111542918846954	5.05588670446474	0.437709142412351	0.514643808068483	0.873410704559188
YAL030W	0.0252555011373176	5.55884214581922	0.0342320243593168	0.854796289752454	0.976715915582665
YAL029C	0.0657048442726063	6.69379717306031	0.607564044586856	0.443459756112606	0.836382583775537
YAL028W	0.427767363249578	2.75058645894985	1.05443723209994	0.315249300332883	0.765874513803487
YAL027W	0.136660916314359	3.64319186721304	1.14125221886862	0.296202878026634	0.74990827973957
YAL026C-A	0.135375775485959	4.02484633581989	0.427969854445886	0.519316775241475	0.873826790770275
YAL026C	0.070922558235348	6.4817786675774	0.805871855998215	0.378418334031025	0.805286865300367
HRA1	-0.269112139679764	2.45655314914975	0.519031215895351	0.478461911853729	0.855295665066051
YAL025C	0.0510452675799516	6.43842220750035	0.218133884440007	0.644752372163999	0.908864273515924
YAL024C	-0.128962526142968	4.79705779640191	0.429047002991217	0.518823505787297	0.873793872288935
YAL023C	0.16156205652027	9.24153312736032	2.50377599005655	0.126895183341434	0.561948328141132
YAL022C	-0.176070656452949	6.74061145620237	1.74514250800607	0.199165386491948	0.66723481180052
YAL021C	0.065270432782809	6.62783540881619	0.391077332666742	0.53773940322054	0.880738926110927
YAL020C	-0.247406920654134	4.71594517035931	1.99202928225644	0.171188062245565	0.627486818840753
YAL019W-A	-0.307205000398025	3.34302167785575	2.23019051349885	0.14859816693254	0.599348710356015
YAL019W	0.0536351529477078	6.18978831039254	0.170525362366085	0.683376206494666	0.924246407314686
YAL018C	-0.481481581662426	-1.31656262821605	0.166942148164116	0.686530686891231	0.924735003645592
YAL017W	0.0637490843830212	5.6016839384401	0.121199602148649	0.730872230689984	0.938065640731709
YAL016C-B	0.209789832105372	1.8497881366257	0.333736098060138	0.568943307890287	0.88744857371793
YAL016C-A	0.415881109093868	3.96283203170729	2.46611581758771	0.130007217847379	0.568740579371224
YAL016W	0.0383609526837851	7.59841830783718	0.251269419619568	0.620830235804889	0.902193771308155
YAL015C	0.00842704454973181	4.85802682988852	0.00879852662213866	0.926060138435652	0.991683922791483
YAL014C	0.185364513559719	5.69462805337414	3.30072840255909	0.0819824855100149	0.469522931979011
YAL013W	-0.00348409653594449	4.67649873963771	0.000690543830131995	0.979256570095242	0.997741148910657
YAL012W	-0.0400273861101429	10.0428037558359	0.118853082326107	0.733337742316588	0.93919199832908
YAL011W	-0.0818480076618123	4.55867379496727	0.256437353293994	0.617280589392164	0.90186588426485
YAL010C	-0.0956959831539975	4.47926112913303	0.55100706975883	0.46523702221134	0.848193395744903
YAL009W	-0.0863586504874232	5.05594681503906	0.555095124407384	0.463605093222954	0.847872853815853
YAL008W	0.236763486577952	4.86624575041003	3.09928923851399	0.0912929442853397	0.491339122333322
YAL007C	0.2254272666672	7.71605724770067	2.92385392606731	0.100407740253833	0.510353717258936
YAL005C	0.107235073233352	9.18907330899783	0.566657267891186	0.45904000481053	0.846584506677099
YAL004W	0.0555947452588588	7.1639042063668	0.0649972319314265	0.801168865511944	0.960811915026859
YAL003W	0.0501863839468267	10.7641219639076	0.3116278016122	0.581945290853587	0.890011154914266
snR18	-0.816555572715548	1.4951319931322	6.50902295700515	0.0176574494560282	0.241316630773908
YAL002W	-0.0062816735523544	5.6429420077182	0.00415677627502877	0.949137015615106	0.994323347856902
YAL001C	0.0888647914628458	5.29521445252236	0.454201409558748	0.506899807742371	0.869238310271973
YAR002W	-0.0590396811380293	6.27716002785244	0.377381573801328	0.544890108686357	0.881999467472001
YAR002C-A	0.136223066615357	8.67743492193769	1.04919190160747	0.316087170293218	0.766247152774569
YAR003W	0.382240323729207	5.99104552882445	10.4429776278641	0.00361134061824708	0.123659905591134
