	logFC	logCPM	F	PValue	FDR
YAL067C	-0.470794820919925	2.23311345225921	2.2494280371406	0.146934695663843	0.504979150296335
YAL065C	0.0500518388246664	-0.238266436075601	0.0157904373826227	0.904945866227697	0.971707840514506
YAL064W-B	1.09154918045457	-0.217116887004753	6.29346003001995	0.0194155793789342	0.219058251888485
YAL064C-A	0.24453290109752	1.8726264116382	0.713400788368782	0.406805389398749	0.7488721490545
YAL064W	-0.135115677031784	-0.874119422205583	0.056290412413751	0.814507385859064	0.937112622489356
YAL063C-A	0.240639455045184	0.915874201036918	0.523802571713859	0.476343308535709	0.789839470096602
YAL063C	0.105603627946992	3.02187363155165	0.496110820226304	0.488112519321887	0.795107674188332
YAL062W	-0.0467142968668062	4.56121688473968	0.120456721449628	0.731618112470511	0.907686392016236
YAL061W	-0.0945165516062237	4.8232784340297	0.322087106369998	0.575720117068178	0.841337619417244
YAL060W	0.165650393958734	7.70845597767958	1.69443190145656	0.205591706657926	0.582731056405937
YAL059C-A	-0.105914163392069	4.74914796967285	0.517248701843385	0.479085163260693	0.79116884278411
YAL059W	-0.0834808113113831	5.77092347424366	0.408585040561748	0.528849700219285	0.817461665390038
YAL058W	0.0315611052396539	5.56884828757055	0.134537745268749	0.717043727229835	0.900992551205018
YAL056C-A	0.0765144691640029	3.55496936439499	0.166425107443662	0.686989133064771	0.889306773502919
YAL056W	-0.0509113886367584	5.76776215901573	0.292537997956916	0.593671800881286	0.847395510428619
YAL055W	0.37639493357721	3.36603115634787	3.85580868237516	0.0614708542458513	0.3567042521917
YAL054C	0.00281464829771571	4.81222145348035	0.000110985515414886	0.991689758084955	0.997678785435897
YAL053W	-0.245828772473471	7.93327778273393	3.13127945519127	0.089736024474158	0.425030630174376
YAL051W	0.141128720992239	5.19569322220843	1.60284259257631	0.21786620197779	0.598074898762659
YAL049C	0.0659474898294462	6.45927416208552	0.316179944525465	0.579219183705548	0.841531211400724
YAL048C	-0.51818162157409	4.44977931779092	6.70639392053643	0.0162117697889092	0.20294928986944
YAL047W-A	-0.742465323904883	0.527302392585765	2.95271589457234	0.0988381619048435	0.436711097747012
YAL047C	-0.0783830751211278	3.82968197860119	0.260599573164374	0.614454461913754	0.859015513025677
YAL046C	-0.0276413098485182	5.04299792705346	0.0482536286256729	0.828020928505665	0.940978892726263
YAL045C	-0.0128395998937629	4.99106895018294	0.00701494332732079	0.933958011627136	0.983065980204845
YAL044W-A	0.083842365908508	5.43171483241017	0.288487453836807	0.59622381785948	0.848465413880567
YAL044C	-0.326398660131188	6.69909478668683	6.10806212037166	0.0210837802564883	0.229767293716437
YAL043C	-0.231230088775929	6.36105501130098	5.23032236275289	0.0314818845700611	0.26824449998413
YAL042C-A	-0.0150569204688925	5.96593722968648	0.0111603164580393	0.916759629994264	0.976176457077362
YAL042W	0.0613842392320043	8.36969956731808	0.647973956849161	0.428880253078605	0.76383655256759
YAL041W	-0.122962285438339	6.29174715715751	1.26426837287618	0.272160831558169	0.645526201282336
YAL040C	0.398873756799652	6.82838729067972	2.34901598525384	0.140284008663264	0.496295682633603
YAL039C	0.331125317606621	5.4152607589552	3.75859077614685	0.0645963523368905	0.367537991243613
YAL038W	-0.0651777944348294	12.838919625564	0.479606453332058	0.495364858206175	0.798524223857625
YAL037C-B	-0.014329160873106	12.3565233714563	0.0223750975084338	0.882365593125508	0.962066942177355
YAL037C-A	0.652315561447983	3.76436622571284	1.00280874655516	0.328540287741389	0.690401521978514
YAL037W	-0.262003876578087	3.09116551439738	1.66568819817015	0.209348733871754	0.587585359175855
YAL036C	-0.156299829901578	7.37470910083132	3.46547409591497	0.0751736323619617	0.39480732800123
YAL035W	-0.027474346510619	8.39656416433415	0.0943927005632511	0.761362285784638	0.919519246172073
YAL034C-B	-0.172377078764778	2.89394513677135	0.780601769406335	0.385876580081673	0.733639108711679
YAL034W-A	-0.398101915174019	3.77995716037225	5.48370650835259	0.0279883089190167	0.25866927357321
YAL034C	-0.0571122414623212	4.24982792809913	0.193642607110335	0.663909201725434	0.880430751411674
YAL033W	-0.0546901123931281	4.87158819673767	0.11640373660115	0.735989584719857	0.909754670083811
YAL032C	0.138160025648286	4.18322686810292	0.65902835705628	0.425022681471453	0.76113337893016
YAL031W-A	-0.0272731753844723	2.92824739392141	0.0133005641527519	0.909161570569921	0.972570824101794
YAL031C	-0.249938377763258	5.05588670446474	2.23551062533528	0.14813589498789	0.506312392716262
YAL030W	0.0791223306403449	5.55884214581922	0.329778301271941	0.571227754069967	0.838660862423628
YAL029C	0.0875955790465971	6.69379717306031	1.091656473984	0.306697664562677	0.672006333142322
YAL028W	-0.20748050136712	2.75058645894985	0.242415427756594	0.627170483486833	0.861697502182001
YAL027W	0.338767588549696	3.64319186721304	7.09499918879354	0.0137070388267024	0.186750271773017
YAL026C-A	0.357860925325185	4.02484633581989	2.92256202350129	0.100478670622395	0.439324080019694
YAL026C	0.194144365134642	6.4817786675774	6.07076476838102	0.0214382579578173	0.230541002105057
HRA1	-0.0823301576849361	2.45655314914975	0.0508505168092431	0.823567231801293	0.939513983762482
YAL025C	0.0237973058946998	6.43842220750035	0.0476288952935091	0.829119450106021	0.94107661241971
YAL024C	-0.4268876190057	4.79705779640191	5.11040908288471	0.0333460220064086	0.277074353989393
YAL023C	-0.186508466470693	9.24153312736032	3.34340096031101	0.0801532748092662	0.404919222367724
YAL022C	0.513535091401266	6.74061145620237	14.7505304527789	0.000806662939115303	0.0589679672121816
YAL021C	-0.0706522969939838	6.62783540881619	0.461589361722833	0.503497300824525	0.801598089313186
YAL020C	0.0562071971927669	4.71594517035931	0.104965921950078	0.748806023112235	0.914134318396403
YAL019W-A	0.00877266596062634	3.34302167785575	0.00184630922633172	0.966088267576387	0.990277174609742
YAL019W	-0.113516435643941	6.18978831039254	0.77187772175553	0.388501727299267	0.736263395808049
YAL018C	-1.60427097096635	-1.31656262821605	2.16856434114512	0.15408081021172	0.514924540225543
YAL017W	-0.0110039852678984	5.6016839384401	0.00368271497552749	0.952128874752629	0.987261796572534
YAL016C-B	0.556865523593765	1.8497881366257	2.47357922266845	0.12909685717881	0.481127135504165
YAL016C-A	-0.397059477702801	3.96283203170729	2.36898068977481	0.1374391885342	0.49342459770984
YAL016W	-0.0799171637798495	7.59841830783718	1.09594844498767	0.305769816732076	0.671166810951042
YAL015C	0.0300231487809008	4.85802682988852	0.117129123608549	0.735200991883999	0.909356968288459
YAL014C	-0.0727052457594612	5.69462805337414	0.503369773908942	0.484980129811285	0.794380847067528
YAL013W	0.196256065724734	4.67649873963771	2.15238708813664	0.15556000636645	0.516561071301778
YAL012W	-0.341475976925376	10.0428037558359	8.65042011616743	0.00721541829207127	0.140549435353939
YAL011W	0.225952557372775	4.55867379496727	1.97602318370061	0.172850026881864	0.54258713650211
YAL010C	-0.191869407676276	4.47926112913303	2.30238876954798	0.142468710074296	0.498121508146029
YAL009W	0.122479338615611	5.05594681503906	1.1277258176298	0.2990166002493	0.66691592435922
YAL008W	0.129450993436469	4.86624575041003	0.897599605714175	0.353034959667489	0.707633192031288
YAL007C	-0.180213824657307	7.71605724770067	1.87623414939596	0.18366625501541	0.555045945255973
YAL005C	-0.0461129652385758	9.18907330899783	0.104854655655422	0.748934423767954	0.914134318396403
YAL004W	-0.265288512751913	7.1639042063668	1.47277622109277	0.237968925288662	0.614400118035698
YAL003W	-0.146827499553477	10.7641219639076	2.66794777891796	0.115670809752522	0.462302855812519
snR18	-0.0784258515158343	1.4951319931322	0.0571143486601935	0.813181263879035	0.936925120974164
YAL002W	0.0320381530372633	5.6429420077182	0.110566034784273	0.742438586415281	0.912310074426264
YAL001C	-0.0915840714156413	5.29521445252236	0.494384588987154	0.488862506261456	0.795742212843479
YAR002W	0.00650319457262973	6.27716002785244	0.0046591054845322	0.946156050184516	0.985809617310285
YAR002C-A	-0.21128311994462	8.67743492193769	2.53868623182393	0.124404805642117	0.474152118047812
YAR003W	-0.187437137046232	5.99104552882445	2.49531957989643	0.127507249845446	0.478131305746368
YAR007C	-0.490913024645289	6.75398867645896	4.66278109316506	0.0421308290840349	0.30700902727916
YAR008W	-0.188097499956191	5.12918467144392	0.418882117553341	0.524372378697405	0.814410765291314
YAR014C	-0.156156545540615	6.34691570834578	1.60885958211684	0.217032170205726	0.596540472901754
YAR015W	-0.502348926571327	7.06482514488203	5.39386105340973	0.0299898560820579	0.262885519567465
YAR018C	1.46581642617652	4.92121374905794	34.0989922232204	7.27556019043063e-06	0.00589052655367987
YAR019C	0.213441617984634	4.81160553316409	3.39878124917808	0.0778487557153723	0.400981857991961
