	logFC	logCPM	F	PValue	FDR
YAL067C	0.568499488992414	2.23311345225921	3.09376894271233	0.09156475450572	0.268342474240637
YAL065C	0.138994303287025	-0.238266436075601	0.0980562615969697	0.7672054628879	0.883454596838582
YAL064W-B	-0.656325507640706	-0.217116887004753	2.36419012548104	0.145469929842532	0.353672407905648
YAL064C-A	0.380636049408164	1.8726264116382	1.89308188019895	0.181783373201068	0.403365335704387
YAL064W	0.277773064572524	-0.874119422205583	0.181510520723028	0.673942115117378	0.831531841637334
YAL063C-A	-0.37133092198031	0.915874201036918	1.18169580943076	0.287998377331725	0.526917166175535
YAL063C	-0.06888230965613	3.02187363155165	0.219629743282661	0.643625753663527	0.813298354188268
YAL062W	-0.0805617344871961	4.56121688473968	0.366427725991388	0.550739995065847	0.748808771837033
YAL061W	-0.0261144742172387	4.8232784340297	0.0265364639267299	0.871985047132202	0.936409415622833
YAL060W	-0.599991895403697	7.70845597767958	22.5660968518821	8.16972016404898e-05	0.00211770311669215
YAL059C-A	0.248089882637424	4.74914796967285	2.83191306120401	0.105604279758102	0.292366571960091
YAL059W	0.306769021526776	5.77092347424366	5.4755970845932	0.028093177158165	0.121585066111678
YAL058W	0.10344788103159	5.56884828757055	1.47545313197694	0.236511353903338	0.474129663525843
YAL056C-A	0.0510405937372389	3.55496936439499	0.0771281577191181	0.783648069524314	0.891932022170046
YAL056W	-0.0694699882018725	5.76776215901573	0.537382328104455	0.470744958709596	0.690411790208438
YAL055W	0.177518970885257	3.36603115634787	0.800198920431543	0.380074117219259	0.613909652064897
YAL054C	-0.375743197308984	4.81222145348035	2.09682521188209	0.161757808770474	0.374918526491165
YAL053W	0.316850821890828	7.93327778273393	5.23196076991987	0.0314577858039239	0.131616948193138
YAL051W	-0.134297415122623	5.19569322220843	1.44355029126923	0.241494519499682	0.480165645813242
YAL049C	-0.497554232197215	6.45927416208552	18.5378891919762	0.000250920731114939	0.00450964164815965
YAL048C	0.0362971238206528	4.44977931779092	0.0332570006823248	0.856857256476373	0.927572930222177
YAL047W-A	-0.0643458719388943	0.527302392585765	0.0220292046402469	0.883271390896818	0.942141679795003
YAL047C	0.04927161691279	3.82968197860119	0.105521040366187	0.748166544542498	0.875147705644281
YAL046C	0.0413630461299632	5.04299792705346	0.111888307075181	0.740961496863955	0.872020820575091
YAL045C	-0.0802779808575542	4.99106895018294	0.298002910460179	0.590264858737446	0.778296756673405
YAL044W-A	-0.156786738684439	5.43171483241017	1.07246700836765	0.310893083541809	0.549489378300193
YAL044C	0.281133451014781	6.69909478668683	4.54149192229616	0.0437171628851333	0.164883398104741
YAL043C	0.0580317703627254	6.36105501130098	0.325968760834727	0.573444030150272	0.765642794379618
YAL042C-A	-0.0676229393620786	5.96593722968648	0.226556968278483	0.638468989984802	0.810019879275753
YAL042W	0.0437338553264563	8.36969956731808	0.329100677696663	0.5716207185456	0.764975869360198
YAL041W	0.0538582105320636	6.29174715715751	0.238147860721291	0.630054006395442	0.804066568381472
YAL040C	-0.843727493433387	6.82838729067972	10.0985094209502	0.00452912923473224	0.0334466683327673
YAL039C	-0.464509094295192	5.4152607589552	7.1821218332132	0.0132080728584032	0.0715893533660397
YAL038W	0.0099407119535877	12.838919625564	0.0111560162006501	0.916775606432481	0.960913211905836
YAL037C-B	0.060060496207564	12.3565233714563	0.393003190980691	0.536747988387388	0.737421133832366
YAL037C-A	-0.962330140718647	3.76436622571284	2.0478387782181	0.167793038946383	0.383550463657149
YAL037W	0.0947192562676983	3.09116551439738	0.265414938837183	0.611220356088434	0.793446490768215
YAL036C	0.175375418574357	7.37470910083132	4.37949278230594	0.0473193704941364	0.174276038057915
YAL035W	0.0761649088712622	8.39656416433415	0.724773775065757	0.403145573580126	0.636570686739287
YAL034C-B	0.297875039171954	2.89394513677135	2.40469572556418	0.134290425155209	0.337073111905783
YAL034W-A	0.275879145032313	3.77995716037225	3.04273199285414	0.0941225321615456	0.27264523341185
YAL034C	-0.00489549062112553	4.24982792809913	0.00140395857485194	0.970426122403584	0.986036600399456
YAL033W	0.449775633395905	4.87158819673767	7.62346403195227	0.010969811530248	0.0627149330543003
YAL032C	0.120560079871356	4.18322686810292	0.487915700071878	0.491690641315123	0.704457016603434
YAL031W-A	0.361290574152657	2.92824739392141	2.00413631641523	0.169943818089154	0.385917794236663
