	logFC	logCPM	F	PValue	FDR
YAL067C	-0.557856223741762	2.23311345225921	3.35476422523791	0.0796741062485242	1
YAL065C	-0.607562468737723	-0.238266436075601	1.50942082192889	0.231348591137449	1
YAL064W-B	-0.0442828293488401	-0.217116887004753	0.00785672852229726	0.930117972987692	1
YAL064C-A	0.332402853114278	1.8726264116382	1.32909018060774	0.260520386874263	1
YAL064W	-0.332299549951422	-0.874119422205583	0.331567326844902	0.570192862070224	1
YAL063C-A	0.0494008301304047	0.915874201036918	0.0251672109353287	0.875301969451033	1
YAL063C	-0.0309736464673393	3.02187363155165	0.0423758834372251	0.838671836167695	1
YAL062W	0.00854353348078177	4.56121688473968	0.00421096451821363	0.948807042671932	1
YAL061W	0.0118979521358518	4.8232784340297	0.0052872241857922	0.942647527166557	1
YAL060W	-0.0601835884581727	7.70845597767958	0.22942443049649	0.636362838852236	1
YAL059C-A	0.079876188075142	4.74914796967285	0.287792729860398	0.596663856296141	1
YAL059W	0.0624205174456516	5.77092347424366	0.224568569953684	0.639939144990295	1
YAL058W	0.0443312353053536	5.56884828757055	0.263581716681213	0.612447156652842	1
YAL056C-A	0.0117044334004235	3.55496936439499	0.00409723230782051	0.949502102386634	1
YAL056W	0.0177869341791602	5.76776215901573	0.0353797931539154	0.852411350195622	1
YAL055W	-0.0566235347905811	3.36603115634787	0.0978854478519026	0.757132425737875	1
YAL054C	0.0944663612877836	4.81222145348035	0.132971909163782	0.718864537857856	1
YAL053W	0.130883110499769	7.93327778273393	0.884253221097016	0.356573346814375	1
YAL051W	-0.0409032517778736	5.19569322220843	0.133851223109388	0.717733657248171	1
YAL049C	0.06000045586929	6.45927416208552	0.267965519307493	0.609522441250809	1
YAL048C	0.133825089163807	4.44977931779092	0.40300837998407	0.531660383123867	1
YAL047W-A	0.465451017162456	0.527302392585765	0.872917550200892	0.359618497561594	1
YAL047C	0.0298940919322671	3.82968197860119	0.0367877758090305	0.849539855835679	1
YAL046C	-0.00235911095961995	5.04299792705346	0.000368003546600952	0.984856185550443	1
YAL045C	0.187804010540029	4.99106895018294	1.59761605265947	0.218593932376414	1
YAL044W-A	0.108582578680761	5.43171483241017	0.506371887632315	0.483694634784902	1
YAL044C	-0.0894288218015991	6.69909478668683	0.465571723826259	0.501679817232502	1
YAL043C	-0.0442016566441698	6.36105501130098	0.187846167826993	0.668654399981724	1
YAL042C-A	0.0590877674201682	5.96593722968648	0.168968307857826	0.684742127950199	1
YAL042W	-0.0222417408477192	8.36969956731808	0.0850801246509608	0.7730781559503	1
YAL041W	-0.1171714814232	6.29174715715751	1.13606529354531	0.297277629916898	1
YAL040C	-0.0548824915946145	6.82838729067972	0.043728746323537	0.836373487599099	1
YAL039C	0.0213898249482972	5.4152607589552	0.016151828542114	0.899946837574737	1
YAL038W	-0.0759507897890348	12.838919625564	0.651211162585557	0.427744962476137	1
YAL037C-B	-0.104423262921322	12.3565233714563	1.18803104412155	0.286740737697381	1
YAL037C-A	-0.631985247362045	3.76436622571284	0.99827408931179	0.329610216734044	1
YAL037W	0.0162074521336195	3.09116551439738	0.00689129336855238	0.934541244343404	1
YAL036C	0.0549145118906373	7.37470910083132	0.425207064061797	0.520656308107904	1
YAL035W	0.0491684399808069	8.39656416433415	0.30176259907615	0.587944615255385	1
YAL034C-B	0.0151004345752248	2.89394513677135	0.00682863540903409	0.934838801865978	1
YAL034W-A	0.241651423865831	3.77995716037225	2.1728270503417	0.153693855285713	1
YAL034C	0.0502088069981971	4.24982792809913	0.142171108840509	0.709504163723412	1
YAL033W	-0.0783354013475693	4.87158819673767	0.240812953418943	0.628155325640338	1
YAL032C	-0.0486164121635754	4.18322686810292	0.0837157143535132	0.774852427376571	1
YAL031W-A	-0.0423570298020694	2.92824739392141	0.0336500891016842	0.856021317384842	1
YAL031C	-0.00702804671179985	5.05588670446474	0.0017292955089266	0.967179802513191	1
YAL030W	-0.003305006412424	5.55884214581922	0.000606742049826939	0.980555655227264	1
YAL029C	0.0688709846720968	6.69379717306031	0.665795377776974	0.422687776163703	1
YAL028W	-0.227378272508494	2.75058645894985	0.385565041693292	0.540792809650458	1
YAL027W	-0.0336810767486248	3.64319186721304	0.0741055408084639	0.787819786100322	1
YAL026C-A	-0.0686165078072382	4.02484633581989	0.118979143437747	0.733202092843831	1
YAL026C	0.0749878082031773	6.4817786675774	0.901273025999717	0.352069827230136	1
HRA1	-0.0638179862757788	2.45655314914975	0.0218950521580817	0.883646938952842	1
YAL025C	-0.0457275726723338	6.43842220750035	0.175068757575322	0.679432006228362	1
YAL024C	0.0515454332753444	4.79705779640191	0.0674591613117988	0.797336820878532	1
YAL023C	0.0202079039569697	9.24153312736032	0.0392222913290429	0.844706369409723	1
YAL022C	-0.077060374147506	6.74061145620237	0.334788431937733	0.56833896130535	1
YAL021C	0.0105838399726076	6.62783540881619	0.0103234210497865	0.919929857454393	1
