	logFC	logCPM	F	PValue	FDR
YAL067C	-0.559691014901463	2.23311345225921	3.73872690384318	0.065256984246224	0.433226468883605
YAL065C	0.118607456635458	-0.238266436075601	0.0888844281563435	0.768211376246114	0.964471477254591
YAL064W-B	-0.179114691276152	-0.217116887004753	0.138815103923796	0.741011952393373	0.960075086529041
YAL064C-A	-0.02248101040469	1.8726264116382	0.005978714613065	0.939019627804956	0.989118686494276
YAL064W	1.83134187682991	-0.874119422205583	6.65449090208921	0.0165709186924255	0.245219921218736
YAL063C-A	-0.308042628932227	0.915874201036918	0.895895752468233	0.353483895717444	0.820163417715733
YAL063C	-0.211539632919431	3.02187363155165	2.0489073158612	0.165436823948926	0.627437187130912
YAL062W	0.0679964624480346	4.56121688473968	0.258101635167227	0.616147089843555	0.922804426514729
YAL061W	-0.290201801017855	4.8232784340297	3.14459159816039	0.0890971876715345	0.495018192135785
YAL060W	-0.282668007594826	7.70845597767958	4.94940214353439	0.0359362316155746	0.332103867742796
YAL059C-A	-0.0989142875481808	4.74914796967285	0.459725358577668	0.504351969640597	0.886048567648927
YAL059W	-0.00682644604483847	5.77092347424366	0.00275310005255529	0.958596184858926	0.992228871334215
YAL058W	-0.213973097989307	5.56884828757055	6.2598335425509	0.0197069445661047	0.263167580059216
YAL056C-A	-0.281463595172586	3.55496936439499	2.32528092427807	0.140588471487098	0.590549885083567
YAL056W	0.191647146688652	5.76776215901573	4.14805781436271	0.0530610308564516	0.401975270739556
YAL055W	-0.0125463962884079	3.36603115634787	0.00420384672665953	0.948850263479176	0.99194411956048
YAL054C	-0.147660250847972	4.81222145348035	0.313376781944614	0.581291151719062	0.912395713651199
YAL053W	-0.356787992264703	7.93327778273393	6.62675843729149	0.0167722108783408	0.246877837046346
YAL051W	0.0740017774245329	5.19569322220843	0.439972425585925	0.513568651525361	0.889344313861634
YAL049C	-0.0687763130393305	6.45927416208552	0.345726571398479	0.562131763022002	0.907851122448331
YAL048C	0.105623499179325	4.44977931779092	0.289590996278536	0.595533471922027	0.916617167808069
YAL047W-A	0.276342148279309	0.527302392585765	0.472201099214826	0.498679578479498	0.886048567648927
YAL047C	0.00193270956691518	3.82968197860119	0.000161503668020125	0.989967340959704	0.998968290791048
YAL046C	-0.0468140820960541	5.04299792705346	0.140367281695446	0.711264513411273	0.951570414199824
YAL045C	-0.292483153020014	4.99106895018294	3.7511219858413	0.0648438519360993	0.431501498317004
YAL044W-A	-0.312946771506775	5.43171483241017	4.09771616222603	0.054411798479687	0.4050379415433
YAL044C	-0.0543214331654882	6.69909478668683	0.171256730723803	0.682737147258416	0.942535239827435
YAL043C	0.0843207668963444	6.36105501130098	0.70104391731728	0.410839186805309	0.847031401433424
YAL042C-A	-0.0536667632256144	5.96593722968648	0.142728349056398	0.708962946555616	0.950641576729357
YAL042W	-0.0346084938036527	8.36969956731808	0.206139653246258	0.653961494650908	0.935586625130475
YAL041W	0.210569523471004	6.29174715715751	3.71355224873735	0.0661053229281434	0.43663069134061
YAL040C	0.365917836327999	6.82838729067972	1.95918566650227	0.176194529139268	0.647443621219057
YAL039C	0.323485297866003	5.4152607589552	3.5038373574203	0.0736825904657219	0.455023832096767
YAL038W	0.110195478389294	12.838919625564	1.37074884295743	0.25337945494835	0.74052045559369
YAL037C-B	0.120431463857318	12.3565233714563	1.58011651943607	0.221052848310573	0.706702554540603
YAL037C-A	0.0390915973748693	3.76436622571284	0.00340434928597626	0.954048786582405	0.992221768202944
YAL037W	-0.441697968728755	3.09116551439738	5.19483225857766	0.0320089924149507	0.318334456796614
YAL036C	-0.0719437791997136	7.37470910083132	0.737692701269445	0.39904817565034	0.843390369303373
YAL035W	0.0438012551961104	8.39656416433415	0.240093956732142	0.628666261182004	0.929805504540451
YAL034C-B	0.0983720628054685	2.89394513677135	0.26171632789869	0.613701065059623	0.921121755203443
YAL034W-A	-0.324031603878264	3.77995716037225	3.92500370546931	0.0593508905160859	0.419364013691363
YAL034C	-0.000226686624127377	4.24982792809913	3.10634265177892e-06	0.998608569595568	0.999926847834396
YAL033W	0.0674301079464526	4.87158819673767	0.178336793381256	0.676632194599823	0.940673644892485
YAL032C	0.1989643947516	4.18322686810292	1.34903075916913	0.257070208930463	0.742672637345289
YAL031W-A	0.26814261939329	2.92824739392141	1.27607572935752	0.269990648685156	0.757464062244771
YAL031C	0.275712396026184	5.05588670446474	2.74105304272437	0.111050030546646	0.540787049952453
YAL030W	0.333130189337404	5.55884214581922	5.76456061921604	0.0246121309835535	0.278715178983361
YAL029C	0.133791502365028	6.69379717306031	2.54420759465933	0.124016225695559	0.56265659998278
YAL028W	0.282782068897287	2.75058645894985	0.458294037282472	0.505227443581156	0.886048840105267
YAL027W	0.165264859383344	3.64319186721304	1.63967153858233	0.212823357572973	0.694419923528703
YAL026C-A	0.0417751298416271	4.02484633581989	0.0390821899465445	0.844980221676476	0.978830826430026
YAL026C	-0.00983078802262663	6.4817786675774	0.0155717119584638	0.901750169445883	0.9856477447402
HRA1	-0.0197226774905293	2.45655314914975	0.00300318111052603	0.956766626944981	0.992228871334215
YAL025C	0.0971882673344541	6.43842220750035	0.795190335966617	0.381544832482815	0.838637637339634
YAL024C	-0.120150938193533	4.79705779640191	0.418811815192536	0.52380806904286	0.892574656365766
YAL023C	-0.330194712876918	9.24153312736032	10.4823084193313	0.00355871259370088	0.122528260845818
YAL022C	0.379682188405176	6.74061145620237	7.97070410805225	0.00950202989053418	0.190576521236081
YAL021C	-0.00937562973116105	6.62783540881619	0.00816970191193875	0.928743556526061	0.988082957385782
YAL020C	0.0665618491075767	4.71594517035931	0.147633437670937	0.704250412220719	0.950105426493786
YAL019W-A	-0.0765584497594865	3.34302167785575	0.143617748941303	0.708101627677982	0.950105426493786
YAL019W	0.0860298518688684	6.18978831039254	0.445566786314523	0.510928205114306	0.888980221284351
YAL018C	-0.0745318295458262	-1.31656262821605	0.00815390698721098	0.92881227672576	0.988082957385782
YAL017W	0.018560551417137	5.6016839384401	0.0105434464972663	0.919097207122993	0.987293800096766
YAL016C-B	0.0808245906855143	1.8497881366257	0.0480991960499605	0.828291782336545	0.976185651593769
YAL016C-A	-0.0899133006565201	3.96283203170729	0.127672027129515	0.724121992376794	0.95503116064306
YAL016W	0.0129717815056002	7.59841830783718	0.0289474224022744	0.86635182267203	0.981036818804021
YAL015C	0.0119149214547675	4.85802682988852	0.0185746579814034	0.892749802928797	0.984698066309935
